peak_g_mag,std_g_mag,peak_hp8_vertical,peak_jerk_mag,max_elevated_dur,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
20.01608,2.709095984837224,7.712825782838784,1694.6604943692998,0.07,True,2026-06-24T19:41:41.288Z,6868.255,8604,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.53281,1.0667885163944768,2.919424228288519,571.5975422952761,0.038,False,2026-06-24T19:41:41.945Z,6868.912,8670,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.53281,1.1930665735055475,2.919424228288519,571.5975422952761,0.038,False,2026-06-24T19:41:42.363Z,6869.33,8712,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.29313,1.2407568924943984,1.511766219813906,781.046615258014,0.04,False,2026-06-24T20:51:30.160Z,11057.127,8815,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
10.16307,1.6594407203501478,4.289586219618298,1006.5323713629692,0.03,True,2026-06-24T20:51:30.966Z,11057.933,8896,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.94079,1.500397204717834,2.6053002350230883,720.16367580155,0.02,False,2026-06-24T20:51:31.613Z,11058.58,8961,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.36026,1.447443398157545,3.822750244019007,848.3366206046985,0.03,False,2026-06-24T20:51:33.882Z,11060.849,9189,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.93054,1.497347159692702,3.144640644575634,893.8091865331213,0.05,False,2026-06-24T20:51:35.206Z,11062.173,9322,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.93054,1.4883376515921067,3.144640644575634,893.8091865331213,0.019,False,2026-06-24T20:51:35.690Z,11062.657,9371,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
17.21729,2.5152451881790374,9.942975180506204,1774.8626545831653,0.099,True,2026-06-24T20:51:38.261Z,11065.228,9629,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.57667,1.1911793797036052,1.907090146060256,675.1680864401267,0.02,False,2026-06-25T17:44:31.381Z,746.864,48,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
7.10366,1.4225583409074742,3.826153369641084,720.0362269636161,0.059,True,2026-06-25T17:44:33.072Z,748.556,218,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
18.6982,2.7825544079388207,8.276128064575595,2673.927308170138,0.092,True,2026-06-25T17:44:35.620Z,751.103,474,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
6.75864,1.2429116312392454,2.1027675245106763,688.2926386962679,0.01,True,2026-06-25T17:44:37.132Z,752.616,626,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
6.3212,1.1162870153041629,3.0806251694056783,818.9867966155227,0.0,False,2026-06-25T17:44:37.696Z,753.18,683,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
7.24576,1.2675664608374817,1.6965335851319503,231.97015735219043,0.05,True,2026-06-25T17:44:39.561Z,755.044,870,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
4.49569,0.8723351104161817,1.5789812033349906,237.30270234870903,0.05,False,2026-06-25T17:44:40.078Z,755.562,922,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
5.8976,1.2971688822236396,2.3215135658482065,811.7166752950193,0.04,True,2026-06-25T17:44:41.093Z,756.577,1024,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
11.84467,1.8624858109533486,2.290401145937789,1083.7923858275524,0.05,True,2026-06-25T17:44:43.631Z,759.114,1279,movement data/movement-46814A23-934C-4626-AB52-B662E6EA33A1,Cael McCarthy
