peak_g_mag,std_g_mag,peak_sma150,peak_hp8_vertical,peak_rms150,peak_jerk_mag,max_elevated_dur,peak_hp8_planar,pitch_range,rot_x_range,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
9.77104,1.5794750431832698,5.646574375,4.4256513721840935,4.522007433745548,693.3412896503423,0.03,2.39872142191886,0.85293,6.5968800000000005,True,2026-06-24T18:42:58.013Z,3344.98,2457,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.38312,1.4842623229986425,5.995792,2.5981369400029144,4.734189012044196,734.2065683593412,0.07,3.3834613407824112,0.7260699999999999,12.123999999999999,False,2026-06-24T18:43:00.471Z,3347.438,2704,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.83517,0.9697063060921443,4.205622666666667,1.9626121071944176,3.2900137784291013,327.8839676852163,0.07,1.3606912269534706,0.5289000000000001,9.67147,False,2026-06-24T18:43:01.207Z,3348.174,2778,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.7967,1.0221170308960923,3.030491333333333,1.4485450554451935,2.619196110030709,543.7388757639093,0.01,1.8309610860439356,0.13056999999999985,6.58978,False,2026-06-24T18:43:02.113Z,3349.08,2869,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.37037,1.0304433897433196,5.158331333333333,1.9412311438693932,3.4303956065493866,496.8256069215837,0.016,2.0346913983068955,1.10958,7.56541,False,2026-06-24T18:56:40.885Z,4167.852,2973,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.80131,1.3712937116310635,7.18995875,2.585919196611992,4.901945494220891,442.51575021348106,0.039,1.7054952692397694,0.7451099999999999,9.3537,False,2026-06-24T18:56:41.955Z,4168.922,3081,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
20.73097,3.2328345545312014,10.966717333333332,17.907117312856787,9.541615217465369,3156.41383919461,0.07,5.603843103779822,1.11867,25.138579999999997,True,2026-06-24T18:56:44.398Z,4171.365,3326,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.54976,1.2064543577180988,4.609148666666667,2.309289846594445,3.200849456974403,731.6108589447849,0.04,4.965416922553033,0.94757,14.34638,False,2026-06-24T18:56:45.084Z,4172.051,3395,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.43913,1.62563977334625,4.663581333333334,2.2958704129927376,3.6143838981473273,807.6657537799903,0.007,5.3041493309431385,0.47514,9.06583,True,2026-06-24T18:56:45.999Z,4172.966,3487,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.24198,1.5223670037520487,5.96431,2.187312247565844,4.586717264574596,778.4414445165418,0.08,2.6268733923824104,0.99246,11.961160000000001,False,2026-06-24T18:56:48.487Z,4175.454,3737,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.90069,1.5161152448788044,5.708786,3.0504325399767063,4.074685960618315,358.52340016378287,0.04,0.877258235147271,0.79457,7.47472,False,2026-06-24T18:56:49.930Z,4176.897,3882,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
